date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:43	561/561	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:e97d7f1cbbb1b3607eb9975da1490b69%22	https://zaiygv-qz.myshopify.com/robots.txt		(from )
19:30:51	11837071/11837071	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:ef5bd6d7272fd272379aa0fd8e6e913a%22	https://zaiygv-qz.myshopify.com/products/geladeira-frost-free-duplex-386-litros-branca-consul-cor-branco-110v	C:/Users/User/Downloads/+%206%20produtos/+%206%20produtos/zaiygv-qz.myshopify.com/products/geladeira-frost-free-duplex-386-litros-branca-consul-cor-branco-110v.html	(from )
19:30:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2022:30:54%20GMT	http://zaiygv-qz.myshopify.com/cdn/shop/t/4/assets/favicon.png?v=145227305158328575881740934376	C:/Users/User/Downloads/+%206%20produtos/+%206%20produtos/zaiygv-qz.myshopify.com/cdn/shop/t/4/assets/favicon.12a49.delayed	(from https://zaiygv-qz.myshopify.com/products/geladeira-frost-free-duplex-386-litros-branca-consul-cor-branco-110v)
19:30:53	24118/24118	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Mar%202025%2021:37:37%20GMT	https://zaiygv-qz.myshopify.com/cdn/shop/t/4/assets/favicon.png?v=145227305158328575881740934376	C:/Users/User/Downloads/+%206%20produtos/+%206%20produtos/zaiygv-qz.myshopify.com/cdn/shop/t/4/assets/favicon2a49.png	(from https://zaiygv-qz.myshopify.com/products/geladeira-frost-free-duplex-386-litros-branca-consul-cor-branco-110v)
19:30:53	61061/61061	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ee85-zxOu6QS7pek93GMwnU4P2iFfd/Y%22	https://cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	C:/Users/User/Downloads/+%206%20produtos/+%206%20produtos/cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	(from https://zaiygv-qz.myshopify.com/products/geladeira-frost-free-duplex-386-litros-branca-consul-cor-branco-110v)
19:30:53	105/105	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2002%20Mar%202025%2022:30:55%20GMT	https://cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	C:/Users/User/Downloads/+%206%20produtos/+%206%20produtos/cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.4.delayed	(from https://zaiygv-qz.myshopify.com/products/geladeira-frost-free-duplex-386-litros-branca-consul-cor-branco-110v)
19:30:54	19927/19927	---M-Z	200	added ('OK')	application/javascript	etag:W/%224dd7-LQbB+CPzTBmYHGrgsOsPWGHF4Us%22	https://cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	C:/Users/User/Downloads/+%206%20produtos/+%206%20produtos/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	(from https://zaiygv-qz.myshopify.com/products/geladeira-frost-free-duplex-386-litros-branca-consul-cor-branco-110v)
19:30:54	89795/89795	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15ec3%22	https://code.jquery.com/jquery-3.6.4.min.js	C:/Users/User/Downloads/+%206%20produtos/+%206%20produtos/code.jquery.com/jquery-3.6.4.min.js	(from https://zaiygv-qz.myshopify.com/products/geladeira-frost-free-duplex-386-litros-branca-consul-cor-branco-110v)
19:30:56	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%226497b657-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/Users/User/Downloads/+%206%20produtos/+%206%20produtos/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://zaiygv-qz.myshopify.com/products/geladeira-frost-free-duplex-386-litros-branca-consul-cor-branco-110v)
19:30:56	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/User/Downloads/+%206%20produtos/+%206%20produtos/code.jquery.com/jquery-3.6.0.min.js	(from https://zaiygv-qz.myshopify.com/products/geladeira-frost-free-duplex-386-litros-branca-consul-cor-branco-110v)
