date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:00	221708/221708	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:85a7f2deeb368a3fa852d90791f64d18%22	https://w19r0y-10.myshopify.com/cart	C:/Users/User/Downloads/cart%20ml/cart%20ml/w19r0y-10.myshopify.com/cart.html	(from )
20:52:00	560/560	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:8570c91a365ae03588e3e82c8a9ec182%22	https://w19r0y-10.myshopify.com/robots.txt		(from )
20:52:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Feb%202025%2023:52:14%20GMT	http://w19r0y-10.myshopify.com/cdn/shop/t/4/assets/favicon.png?v=145227305158328575881739222053	C:/Users/User/Downloads/cart%20ml/cart%20ml/w19r0y-10.myshopify.com/cdn/shop/t/4/assets/favicon.10062.delayed	(from https://w19r0y-10.myshopify.com/cart)
20:52:01	24118/24118	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2021:51:15%20GMT	https://w19r0y-10.myshopify.com/cdn/shop/t/4/assets/favicon.png?v=145227305158328575881739222053	C:/Users/User/Downloads/cart%20ml/cart%20ml/w19r0y-10.myshopify.com/cdn/shop/t/4/assets/favicon0062.png	(from https://w19r0y-10.myshopify.com/cart)
20:52:01	61061/61061	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ee85-zxOu6QS7pek93GMwnU4P2iFfd/Y%22	https://cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	C:/Users/User/Downloads/cart%20ml/cart%20ml/cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	(from https://w19r0y-10.myshopify.com/cart)
20:52:01	112/112	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Feb%202025%2023:52:15%20GMT	https://cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	C:/Users/User/Downloads/cart%20ml/cart%20ml/cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.4.delayed	(from https://w19r0y-10.myshopify.com/cart)
20:52:02	19927/19927	---M-Z	200	added ('OK')	application/javascript	etag:W/%224dd7-LQbB+CPzTBmYHGrgsOsPWGHF4Us%22	https://cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	C:/Users/User/Downloads/cart%20ml/cart%20ml/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	(from https://w19r0y-10.myshopify.com/cart)
20:52:02	89795/89795	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15ec3%22	https://code.jquery.com/jquery-3.6.4.min.js	C:/Users/User/Downloads/cart%20ml/cart%20ml/code.jquery.com/jquery-3.6.4.min.js	(from https://w19r0y-10.myshopify.com/cart)
20:52:02	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f7b5b5f-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/Users/User/Downloads/cart%20ml/cart%20ml/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://w19r0y-10.myshopify.com/cart)
20:52:03	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/User/Downloads/cart%20ml/cart%20ml/code.jquery.com/jquery-3.6.0.min.js	(from https://w19r0y-10.myshopify.com/cart)
